"PID","county","poptotal","IL","IN","MI","OH","WI"
561,"ADAMS",66090,0.052,NA,NA,NA,NA
562,"ALEXANDER",10626,0.014,NA,NA,NA,NA
563,"BOND",14991,0.022,NA,NA,NA,NA
564,"BOONE",30806,0.017,NA,NA,NA,NA
565,"BROWN",5836,0.018,NA,NA,NA,NA
566,"BUREAU",35688,0.05,NA,NA,NA,NA
567,"CALHOUN",5322,0.017,NA,NA,NA,NA
568,"CARROLL",16805,0.027,NA,NA,NA,NA
569,"CASS",13437,0.024,NA,NA,NA,NA
570,"CHAMPAIGN",173025,0.058,NA,NA,NA,NA
571,"CHRISTIAN",34418,0.042,NA,NA,NA,NA
572,"CLARK",15921,0.03,NA,NA,NA,NA
573,"CLAY",14460,0.028,NA,NA,NA,NA
574,"CLINTON",33944,0.029,NA,NA,NA,NA
575,"COLES",51644,0.03,NA,NA,NA,NA
576,"COOK",5105067,0.058,NA,NA,NA,NA
577,"CRAWFORD",19464,0.026,NA,NA,NA,NA
578,"CUMBERLAND",10670,0.02,NA,NA,NA,NA
579,"DE KALB",77932,0.038,NA,NA,NA,NA
580,"DE WITT",16516,0.023,NA,NA,NA,NA
581,"DOUGLAS",19464,0.025,NA,NA,NA,NA
582,"DU PAGE",781666,0.02,NA,NA,NA,NA
583,"EDGAR",19595,0.036,NA,NA,NA,NA
584,"EDWARDS",7440,0.014,NA,NA,NA,NA
585,"EFFINGHAM",31704,0.028,NA,NA,NA,NA
586,"FAYETTE",20893,0.044,NA,NA,NA,NA
587,"FORD",14275,0.03,NA,NA,NA,NA
588,"FRANKLIN",40319,0.025,NA,NA,NA,NA
589,"FULTON",38080,0.052,NA,NA,NA,NA
590,"GALLATIN",6909,0.019,NA,NA,NA,NA
591,"GREENE",15317,0.033,NA,NA,NA,NA
592,"GRUNDY",32337,0.026,NA,NA,NA,NA
593,"HAMILTON",8499,0.025,NA,NA,NA,NA
594,"HANCOCK",21373,0.047,NA,NA,NA,NA
595,"HARDIN",5189,0.009,NA,NA,NA,NA
596,"HENDERSON",8096,0.023,NA,NA,NA,NA
597,"HENRY",51159,0.051,NA,NA,NA,NA
598,"IROQUOIS",30787,0.067,NA,NA,NA,NA
599,"JACKSON",61067,0.036,NA,NA,NA,NA
600,"JASPER",10609,0.029,NA,NA,NA,NA
601,"JEFFERSON",37020,0.033,NA,NA,NA,NA
602,"JERSEY",20539,0.023,NA,NA,NA,NA
603,"JO DAVIESS",21821,0.035,NA,NA,NA,NA
604,"JOHNSON",11347,0.02,NA,NA,NA,NA
605,"KANE",317471,0.029,NA,NA,NA,NA
606,"KANKAKEE",96255,0.039,NA,NA,NA,NA
607,"KENDALL",39413,0.018,NA,NA,NA,NA
608,"KNOX",56393,0.042,NA,NA,NA,NA
609,"LAKE",516418,0.028,NA,NA,NA,NA
610,"LA SALLE",106913,0.068,NA,NA,NA,NA
611,"LAWRENCE",15972,0.022,NA,NA,NA,NA
612,"LEE",34392,0.043,NA,NA,NA,NA
613,"LIVINGSTON",39301,0.062,NA,NA,NA,NA
614,"LOGAN",30798,0.036,NA,NA,NA,NA
615,"MCDONOUGH",35244,0.034,NA,NA,NA,NA
616,"MCHENRY",183241,0.036,NA,NA,NA,NA
617,"MCLEAN",129180,0.068,NA,NA,NA,NA
618,"MACON",117206,0.035,NA,NA,NA,NA
619,"MACOUPIN",47679,0.05,NA,NA,NA,NA
620,"MADISON",249238,0.045,NA,NA,NA,NA
621,"MARION",41561,0.035,NA,NA,NA,NA
622,"MARSHALL",12846,0.023,NA,NA,NA,NA
623,"MASON",16269,0.033,NA,NA,NA,NA
624,"MASSAC",14752,0.014,NA,NA,NA,NA
625,"MENARD",11164,0.018,NA,NA,NA,NA
626,"MERCER",17290,0.033,NA,NA,NA,NA
627,"MONROE",22422,0.023,NA,NA,NA,NA
628,"MONTGOMERY",30728,0.041,NA,NA,NA,NA
629,"MORGAN",36397,0.033,NA,NA,NA,NA
630,"MOULTRIE",13930,0.021,NA,NA,NA,NA
631,"OGLE",45957,0.045,NA,NA,NA,NA
632,"PEORIA",182827,0.038,NA,NA,NA,NA
633,"PERRY",21412,0.026,NA,NA,NA,NA
634,"PIATT",15548,0.025,NA,NA,NA,NA
635,"PIKE",17577,0.049,NA,NA,NA,NA
636,"POPE",4373,0.022,NA,NA,NA,NA
637,"PULASKI",7523,0.011,NA,NA,NA,NA
638,"PUTNAM",5730,0.01,NA,NA,NA,NA
639,"RANDOLPH",34583,0.036,NA,NA,NA,NA
640,"RICHLAND",16545,0.022,NA,NA,NA,NA
641,"ROCK ISLAND",148723,0.028,NA,NA,NA,NA
642,"ST CLAIR",262852,0.04,NA,NA,NA,NA
643,"SALINE",26551,0.022,NA,NA,NA,NA
644,"SANGAMON",178386,0.051,NA,NA,NA,NA
645,"SCHUYLER",7498,0.026,NA,NA,NA,NA
646,"SCOTT",5644,0.015,NA,NA,NA,NA
647,"SHELBY",22261,0.044,NA,NA,NA,NA
648,"STARK",6534,0.017,NA,NA,NA,NA
649,"STEPHENSON",48052,0.033,NA,NA,NA,NA
650,"TAZEWELL",123692,0.039,NA,NA,NA,NA
651,"UNION",17619,0.024,NA,NA,NA,NA
652,"VERMILION",88257,0.052,NA,NA,NA,NA
653,"WABASH",13111,0.012,NA,NA,NA,NA
654,"WARREN",19181,0.033,NA,NA,NA,NA
655,"WASHINGTON",14965,0.033,NA,NA,NA,NA
656,"WAYNE",17241,0.042,NA,NA,NA,NA
657,"WHITE",16522,0.029,NA,NA,NA,NA
658,"WHITESIDE",60186,0.041,NA,NA,NA,NA
659,"WILL",357313,0.05,NA,NA,NA,NA
660,"WILLIAMSON",57733,0.025,NA,NA,NA,NA
661,"Winnebago",252913,0.03,NA,NA,NA,NA
662,"WOODFORD",32653,0.032,NA,NA,NA,NA
663,"ADAMS",31095,NA,0.021,NA,NA,NA
664,"ALLEN",300836,NA,0.041,NA,NA,NA
665,"BARTHOLOMEW",63657,NA,0.022,NA,NA,NA
666,"BENTON",9441,NA,0.024,NA,NA,NA
667,"BLACKFORD",14067,NA,0.01,NA,NA,NA
668,"BOONE",38147,NA,0.024,NA,NA,NA
669,"BROWN",14080,NA,0.019,NA,NA,NA
670,"CARROLL",18809,NA,0.022,NA,NA,NA
671,"CASS",38413,NA,0.024,NA,NA,NA
672,"CLARK",87777,NA,0.022,NA,NA,NA
673,"CLAY",24705,NA,0.021,NA,NA,NA
674,"CLINTON",30974,NA,0.023,NA,NA,NA
675,"CRAWFORD",9914,NA,0.018,NA,NA,NA
676,"DAVIESS",27533,NA,0.026,NA,NA,NA
677,"DEARBORN",38835,NA,0.019,NA,NA,NA
678,"DECATUR",23645,NA,0.022,NA,NA,NA
679,"DE KALB",35324,NA,0.022,NA,NA,NA
680,"DELAWARE",119659,NA,0.023,NA,NA,NA
681,"DUBOIS",36616,NA,0.026,NA,NA,NA
682,"ELKHART",156198,NA,0.027,NA,NA,NA
683,"FAYETTE",26015,NA,0.012,NA,NA,NA
684,"FLOYD",64404,NA,0.009,NA,NA,NA
685,"FOUNTAIN",17808,NA,0.025,NA,NA,NA
686,"FRANKLIN",19580,NA,0.023,NA,NA,NA
687,"FULTON",18840,NA,0.021,NA,NA,NA
688,"GIBSON",31913,NA,0.029,NA,NA,NA
689,"GRANT",74169,NA,0.024,NA,NA,NA
690,"GREENE",30410,NA,0.033,NA,NA,NA
691,"HAMILTON",108936,NA,0.024,NA,NA,NA
692,"HANCOCK",45527,NA,0.017,NA,NA,NA
693,"HARRISON",29890,NA,0.028,NA,NA,NA
694,"HENDRICKS",75717,NA,0.024,NA,NA,NA
695,"HENRY",48139,NA,0.024,NA,NA,NA
696,"HOWARD",80827,NA,0.016,NA,NA,NA
697,"HUNTINGTON",35427,NA,0.023,NA,NA,NA
698,"JACKSON",37730,NA,0.03,NA,NA,NA
699,"JASPER",24960,NA,0.034,NA,NA,NA
700,"JAY",21512,NA,0.022,NA,NA,NA
701,"JEFFERSON",29797,NA,0.021,NA,NA,NA
702,"JENNINGS",23661,NA,0.021,NA,NA,NA
703,"JOHNSON",88109,NA,0.018,NA,NA,NA
704,"KNOX",39884,NA,0.031,NA,NA,NA
705,"KOSCIUSKO",65294,NA,0.032,NA,NA,NA
706,"LAGRANGE",29477,NA,0.022,NA,NA,NA
707,"LAKE",475594,NA,0.03,NA,NA,NA
708,"LA PORTE",107066,NA,0.036,NA,NA,NA
709,"LAWRENCE",42836,NA,0.027,NA,NA,NA
710,"MADISON",130669,NA,0.026,NA,NA,NA
711,"MARION",797159,NA,0.023,NA,NA,NA
712,"MARSHALL",42182,NA,0.026,NA,NA,NA
713,"MARTIN",10369,NA,0.021,NA,NA,NA
714,"MIAMI",36897,NA,0.024,NA,NA,NA
715,"MONROE",108978,NA,0.024,NA,NA,NA
716,"MONTGOMERY",34436,NA,0.03,NA,NA,NA
717,"MORGAN",55920,NA,0.024,NA,NA,NA
718,"NEWTON",13551,NA,0.024,NA,NA,NA
719,"NOBLE",37877,NA,0.025,NA,NA,NA
720,"OHIO",5315,NA,0.005,NA,NA,NA
721,"ORANGE",18409,NA,0.023,NA,NA,NA
722,"OWEN",17281,NA,0.023,NA,NA,NA
723,"PARKE",15410,NA,0.027,NA,NA,NA
724,"PERRY",19107,NA,0.022,NA,NA,NA
725,"PIKE",12509,NA,0.02,NA,NA,NA
726,"PORTER",128932,NA,0.026,NA,NA,NA
727,"POSEY",25968,NA,0.025,NA,NA,NA
728,"PULASKI",12643,NA,0.026,NA,NA,NA
729,"PUTNAM",30315,NA,0.029,NA,NA,NA
730,"RANDOLPH",27148,NA,0.026,NA,NA,NA
731,"RIPLEY",24616,NA,0.025,NA,NA,NA
732,"RUSH",18129,NA,0.023,NA,NA,NA
733,"ST JOSEPH",247052,NA,0.028,NA,NA,NA
734,"SCOTT",20991,NA,0.011,NA,NA,NA
735,"SHELBY",40307,NA,0.024,NA,NA,NA
736,"SPENCER",19490,NA,0.024,NA,NA,NA
737,"STARKE",22747,NA,0.019,NA,NA,NA
738,"STEUBEN",27446,NA,0.021,NA,NA,NA
739,"SULLIVAN",18993,NA,0.027,NA,NA,NA
740,"SWITZERLAND",7738,NA,0.013,NA,NA,NA
741,"TIPPECANOE",130598,NA,0.03,NA,NA,NA
742,"TIPTON",16119,NA,0.016,NA,NA,NA
743,"UNION",6976,NA,0.01,NA,NA,NA
744,"VANDERBURGH",165058,NA,0.013,NA,NA,NA
745,"VERMILLION",16773,NA,0.016,NA,NA,NA
746,"VIGO",106107,NA,0.024,NA,NA,NA
747,"WABASH",35069,NA,0.023,NA,NA,NA
748,"WARREN",8176,NA,0.021,NA,NA,NA
749,"WARRICK",44920,NA,0.023,NA,NA,NA
750,"WASHINGTON",23717,NA,0.03,NA,NA,NA
751,"WAYNE",71951,NA,0.024,NA,NA,NA
752,"WELLS",25948,NA,0.021,NA,NA,NA
753,"WHITE",23265,NA,0.03,NA,NA,NA
754,"WHITLEY",27651,NA,0.02,NA,NA,NA
1197,"ALCONA",10145,NA,NA,0.041,NA,NA
1198,"ALGER",8972,NA,NA,0.051,NA,NA
1199,"ALLEGAN",90509,NA,NA,0.049,NA,NA
1200,"ALPENA",30605,NA,NA,0.034,NA,NA
1201,"ANTRIM",18185,NA,NA,0.031,NA,NA
1202,"ARENAC",14931,NA,NA,0.021,NA,NA
1203,"BARAGA",7954,NA,NA,0.054,NA,NA
1204,"BARRY",50057,NA,NA,0.034,NA,NA
1205,"BAY",111723,NA,NA,0.026,NA,NA
1206,"BENZIE",12200,NA,NA,0.02,NA,NA
1207,"BERRIEN",161378,NA,NA,0.033,NA,NA
1208,"BRANCH",41502,NA,NA,0.029,NA,NA
1209,"CALHOUN",135982,NA,NA,0.042,NA,NA
1210,"CASS",49477,NA,NA,0.03,NA,NA
1211,"CHARLEVOIX",21468,NA,NA,0.022,NA,NA
1212,"CHEBOYGAN",21398,NA,NA,0.048,NA,NA
1213,"CHIPPEWA",34604,NA,NA,0.078,NA,NA
1214,"CLARE",24952,NA,NA,0.034,NA,NA
1215,"CLINTON",57883,NA,NA,0.034,NA,NA
1216,"CRAWFORD",12260,NA,NA,0.034,NA,NA
1217,"DELTA",37780,NA,NA,0.069,NA,NA
1218,"DICKINSON",26831,NA,NA,0.046,NA,NA
1219,"EATON",92879,NA,NA,0.034,NA,NA
1220,"EMMET",25040,NA,NA,0.027,NA,NA
1221,"GENESEE",430459,NA,NA,0.037,NA,NA
1222,"GLADWIN",21896,NA,NA,0.031,NA,NA
1223,"GOGEBIC",18052,NA,NA,0.068,NA,NA
1224,"GRAND TRAVERSE",64273,NA,NA,0.03,NA,NA
1225,"GRATIOT",38982,NA,NA,0.033,NA,NA
1226,"HILLSDALE",43431,NA,NA,0.034,NA,NA
1227,"HOUGHTON",35446,NA,NA,0.06,NA,NA
1228,"HURON",34951,NA,NA,0.05,NA,NA
1229,"INGHAM",281912,NA,NA,0.034,NA,NA
1230,"IONIA",57024,NA,NA,0.034,NA,NA
1231,"IOSCO",30209,NA,NA,0.033,NA,NA
1232,"IRON",13175,NA,NA,0.07,NA,NA
1233,"ISABELLA",54624,NA,NA,0.034,NA,NA
1234,"JACKSON",149756,NA,NA,0.043,NA,NA
1235,"KALAMAZOO",223411,NA,NA,0.033,NA,NA
1236,"KALKASKA",13497,NA,NA,0.033,NA,NA
1237,"KENT",500631,NA,NA,0.05,NA,NA
1238,"KEWEENAW",1701,NA,NA,0.02,NA,NA
1239,"LAKE",8583,NA,NA,0.035,NA,NA
1240,"LAPEER",74768,NA,NA,0.038,NA,NA
1241,"LEELANAU",16527,NA,NA,0.021,NA,NA
1242,"LENAWEE",91476,NA,NA,0.043,NA,NA
1243,"LIVINGSTON",115645,NA,NA,0.034,NA,NA
1244,"LUCE",5763,NA,NA,0.055,NA,NA
1245,"MACKINAC",10674,NA,NA,0.059,NA,NA
1246,"MACOMB",717400,NA,NA,0.028,NA,NA
1247,"MANISTEE",21265,NA,NA,0.032,NA,NA
1248,"MARQUETTE",70887,NA,NA,0.11,NA,NA
1249,"MASON",25537,NA,NA,0.029,NA,NA
1250,"MECOSTA",37308,NA,NA,0.034,NA,NA
1251,"MENOMINEE",24920,NA,NA,0.064,NA,NA
1252,"MIDLAND",75651,NA,NA,0.031,NA,NA
1253,"MISSAUKEE",12147,NA,NA,0.033,NA,NA
1254,"MONROE",133600,NA,NA,0.033,NA,NA
1255,"MONTCALM",53059,NA,NA,0.042,NA,NA
1256,"MONTMORENCY",8936,NA,NA,0.033,NA,NA
1257,"MUSKEGON",158983,NA,NA,0.028,NA,NA
1258,"NEWAYGO",38202,NA,NA,0.051,NA,NA
1259,"OAKLAND",1083592,NA,NA,0.055,NA,NA
1260,"OCEANA",22454,NA,NA,0.03,NA,NA
1261,"OGEMAW",18681,NA,NA,0.032,NA,NA
1262,"ONTONAGON",8854,NA,NA,0.078,NA,NA
1263,"OSCEOLA",20146,NA,NA,0.034,NA,NA
1264,"OSCODA",7842,NA,NA,0.033,NA,NA
1265,"OTSEGO",17957,NA,NA,0.031,NA,NA
1266,"OTTAWA",187768,NA,NA,0.033,NA,NA
1267,"PRESQUE ISLE",13743,NA,NA,0.042,NA,NA
1268,"ROSCOMMON",19776,NA,NA,0.034,NA,NA
1269,"SAGINAW",211946,NA,NA,0.048,NA,NA
1270,"ST CLAIR",145607,NA,NA,0.04,NA,NA
1271,"ST JOSEPH",58913,NA,NA,0.029,NA,NA
1272,"SANILAC",39928,NA,NA,0.056,NA,NA
1273,"SCHOOLCRAFT",8302,NA,NA,0.075,NA,NA
1274,"SHIAWASSEE",69770,NA,NA,0.031,NA,NA
1275,"TUSCOLA",55498,NA,NA,0.048,NA,NA
1276,"VAN BUREN",70060,NA,NA,0.037,NA,NA
1277,"WASHTENAW",282937,NA,NA,0.041,NA,NA
1278,"WAYNE",2111687,NA,NA,0.035,NA,NA
1279,"WEXFORD",26360,NA,NA,0.034,NA,NA
2009,"ADAMS",25371,NA,NA,NA,0.035,NA
2010,"ALLEN",109755,NA,NA,NA,0.024,NA
2011,"ASHLAND",47507,NA,NA,NA,0.025,NA
2012,"ASHTABULA",99821,NA,NA,NA,0.041,NA
2013,"ATHENS",59549,NA,NA,NA,0.03,NA
2014,"AUGLAIZE",44585,NA,NA,NA,0.024,NA
2015,"BELMONT",71074,NA,NA,NA,0.031,NA
2016,"BROWN",34966,NA,NA,NA,0.028,NA
2017,"BUTLER",291479,NA,NA,NA,0.028,NA
2018,"CARROLL",26521,NA,NA,NA,0.024,NA
2019,"CHAMPAIGN",36019,NA,NA,NA,0.026,NA
2020,"CLARK",147548,NA,NA,NA,0.024,NA
2021,"CLERMONT",150187,NA,NA,NA,0.026,NA
2022,"CLINTON",35415,NA,NA,NA,0.024,NA
2023,"COLUMBIANA",108276,NA,NA,NA,0.031,NA
2024,"COSHOCTON",35427,NA,NA,NA,0.034,NA
2025,"CRAWFORD",47870,NA,NA,NA,0.023,NA
2026,"CUYAHOGA",1412140,NA,NA,NA,0.026,NA
2027,"DARKE",53619,NA,NA,NA,0.036,NA
2028,"DEFIANCE",39350,NA,NA,NA,0.023,NA
2029,"DELAWARE",66929,NA,NA,NA,0.027,NA
2030,"ERIE",76779,NA,NA,NA,0.014,NA
2031,"FAIRFIELD",103461,NA,NA,NA,0.029,NA
2032,"FAYETTE",27466,NA,NA,NA,0.024,NA
2033,"FRANKLIN",961437,NA,NA,NA,0.034,NA
2034,"FULTON",38498,NA,NA,NA,0.025,NA
2035,"GALLIA",30954,NA,NA,NA,0.026,NA
2036,"GEAUGA",81129,NA,NA,NA,0.024,NA
2037,"GREENE",136731,NA,NA,NA,0.025,NA
2038,"GUERNSEY",39024,NA,NA,NA,0.032,NA
2039,"HAMILTON",866228,NA,NA,NA,0.025,NA
2040,"HANCOCK",65536,NA,NA,NA,0.031,NA
2041,"HARDIN",31111,NA,NA,NA,0.028,NA
2042,"HARRISON",16085,NA,NA,NA,0.025,NA
2043,"HENRY",29108,NA,NA,NA,0.025,NA
2044,"HIGHLAND",35728,NA,NA,NA,0.034,NA
2045,"HOCKING",25533,NA,NA,NA,0.024,NA
2046,"HOLMES",32849,NA,NA,NA,0.025,NA
2047,"HURON",56240,NA,NA,NA,0.03,NA
2048,"JACKSON",30230,NA,NA,NA,0.024,NA
2049,"JEFFERSON",80298,NA,NA,NA,0.022,NA
2050,"KNOX",47473,NA,NA,NA,0.03,NA
2051,"LAKE",215499,NA,NA,NA,0.013,NA
2052,"LAWRENCE",61834,NA,NA,NA,0.026,NA
2053,"LICKING",128300,NA,NA,NA,0.04,NA
2054,"LOGAN",42310,NA,NA,NA,0.027,NA
2055,"LORAIN",271126,NA,NA,NA,0.029,NA
2056,"LUCAS",462361,NA,NA,NA,0.021,NA
2057,"MADISON",37068,NA,NA,NA,0.028,NA
2058,"MAHONING",264806,NA,NA,NA,0.024,NA
2059,"MARION",64274,NA,NA,NA,0.024,NA
2060,"MEDINA",122354,NA,NA,NA,0.025,NA
2061,"MEIGS",22987,NA,NA,NA,0.025,NA
2062,"MERCER",39443,NA,NA,NA,0.028,NA
2063,"MIAMI",93182,NA,NA,NA,0.024,NA
2064,"MONROE",15497,NA,NA,NA,0.026,NA
2065,"MONTGOMERY",573809,NA,NA,NA,0.027,NA
2066,"MORGAN",14194,NA,NA,NA,0.025,NA
2067,"MORROW",27749,NA,NA,NA,0.024,NA
2068,"MUSKINGUM",82068,NA,NA,NA,0.041,NA
2069,"NOBLE",11336,NA,NA,NA,0.024,NA
2070,"OTTAWA",40029,NA,NA,NA,0.016,NA
2071,"PAULDING",20488,NA,NA,NA,0.025,NA
2072,"PERRY",31557,NA,NA,NA,0.023,NA
2073,"PICKAWAY",48255,NA,NA,NA,0.03,NA
2074,"PIKE",24249,NA,NA,NA,0.026,NA
2075,"PORTAGE",142585,NA,NA,NA,0.03,NA
2076,"PREBLE",40113,NA,NA,NA,0.025,NA
2077,"PUTNAM",33819,NA,NA,NA,0.029,NA
2078,"RICHLAND",126137,NA,NA,NA,0.029,NA
2079,"ROSS",69330,NA,NA,NA,0.041,NA
2080,"SANDUSKY",61963,NA,NA,NA,0.024,NA
2081,"SCIOTO",80327,NA,NA,NA,0.035,NA
2082,"SENECA",59733,NA,NA,NA,0.033,NA
2083,"SHELBY",44915,NA,NA,NA,0.025,NA
2084,"STARK",367585,NA,NA,NA,0.034,NA
2085,"SUMMIT",514990,NA,NA,NA,0.024,NA
2086,"TRUMBULL",227813,NA,NA,NA,0.037,NA
2087,"TUSCARAWAS",84090,NA,NA,NA,0.034,NA
2088,"UNION",31969,NA,NA,NA,0.026,NA
2089,"VAN WERT",30464,NA,NA,NA,0.024,NA
2090,"VINTON",11098,NA,NA,NA,0.024,NA
2091,"WARREN",113909,NA,NA,NA,0.023,NA
2092,"WASHINGTON",62254,NA,NA,NA,0.038,NA
2093,"WAYNE",101461,NA,NA,NA,0.033,NA
2094,"WILLIAMS",36956,NA,NA,NA,0.025,NA
2095,"WOOD",113269,NA,NA,NA,0.037,NA
2096,"WYANDOT",22254,NA,NA,NA,0.024,NA
2981,"ADAMS",15682,NA,NA,NA,NA,0.041
2982,"ASHLAND",16307,NA,NA,NA,NA,0.054
2983,"BARRON",40750,NA,NA,NA,NA,0.053
2984,"BAYFIELD",14008,NA,NA,NA,NA,0.089
2985,"BROWN",194594,NA,NA,NA,NA,0.032
2986,"BUFFALO",13584,NA,NA,NA,NA,0.04
2987,"BURNETT",13084,NA,NA,NA,NA,0.053
2988,"CALUMET",34291,NA,NA,NA,NA,0.023
2989,"CHIPPEWA",52360,NA,NA,NA,NA,0.063
2990,"CLARK",31647,NA,NA,NA,NA,0.072
2991,"COLUMBIA",45088,NA,NA,NA,NA,0.046
2992,"CRAWFORD",15940,NA,NA,NA,NA,0.035
2993,"DANE",367085,NA,NA,NA,NA,0.073
2994,"DODGE",76559,NA,NA,NA,NA,0.054
2995,"DOOR",25690,NA,NA,NA,NA,0.028
2996,"DOUGLAS",41758,NA,NA,NA,NA,0.078
2997,"DUNN",35909,NA,NA,NA,NA,0.052
2998,"EAU CLAIRE",85183,NA,NA,NA,NA,0.038
2999,"FLORENCE",4590,NA,NA,NA,NA,0.03
3000,"FOND DU LAC",90083,NA,NA,NA,NA,0.044
3001,"FOREST",8776,NA,NA,NA,NA,0.06
3002,"GRANT",49264,NA,NA,NA,NA,0.069
3003,"GREEN",30339,NA,NA,NA,NA,0.034
3004,"GREEN LAKE",18651,NA,NA,NA,NA,0.022
3005,"IOWA",20150,NA,NA,NA,NA,0.046
3006,"IRON",6153,NA,NA,NA,NA,0.047
3007,"JACKSON",16588,NA,NA,NA,NA,0.06
3008,"JEFFERSON",67783,NA,NA,NA,NA,0.035
3009,"JUNEAU",21650,NA,NA,NA,NA,0.047
3010,"KENOSHA",128181,NA,NA,NA,NA,0.016
3011,"KEWAUNEE",18878,NA,NA,NA,NA,0.02
3012,"LA CROSSE",97904,NA,NA,NA,NA,0.028
3013,"LAFAYETTE",16076,NA,NA,NA,NA,0.037
3014,"LANGLADE",19505,NA,NA,NA,NA,0.052
3015,"LINCOLN",26993,NA,NA,NA,NA,0.053
3016,"MANITOWOC",80421,NA,NA,NA,NA,0.036
3017,"MARATHON",115400,NA,NA,NA,NA,0.094
3018,"MARINETTE",40548,NA,NA,NA,NA,0.082
3019,"MARQUETTE",12321,NA,NA,NA,NA,0.027
3020,"MENOMINEE",3890,NA,NA,NA,NA,0.021
3021,"MILWAUKEE",959275,NA,NA,NA,NA,0.015
3022,"MONROE",36633,NA,NA,NA,NA,0.054
3023,"OCONTO",30226,NA,NA,NA,NA,0.06
3024,"ONEIDA",31679,NA,NA,NA,NA,0.071
3025,"OUTAGAMIE",140510,NA,NA,NA,NA,0.037
3026,"OZAUKEE",72831,NA,NA,NA,NA,0.015
3027,"PEPIN",7107,NA,NA,NA,NA,0.014
3028,"PIERCE",32765,NA,NA,NA,NA,0.034
3029,"POLK",34773,NA,NA,NA,NA,0.055
3030,"PORTAGE",61405,NA,NA,NA,NA,0.048
3031,"PRICE",15600,NA,NA,NA,NA,0.075
3032,"RACINE",175034,NA,NA,NA,NA,0.02
3033,"RICHLAND",17521,NA,NA,NA,NA,0.034
3034,"ROCK",139510,NA,NA,NA,NA,0.042
3035,"RUSK",15079,NA,NA,NA,NA,0.055
3036,"ST CROIX",50251,NA,NA,NA,NA,0.044
3037,"SAUK",46975,NA,NA,NA,NA,0.05
3038,"SAWYER",14181,NA,NA,NA,NA,0.079
3039,"SHAWANO",37157,NA,NA,NA,NA,0.054
3040,"SHEBOYGAN",103877,NA,NA,NA,NA,0.032
3041,"TAYLOR",18901,NA,NA,NA,NA,0.057
3042,"TREMPEALEAU",25263,NA,NA,NA,NA,0.043
3043,"VERNON",25617,NA,NA,NA,NA,0.048
3044,"VILAS",17707,NA,NA,NA,NA,0.06
3045,"WALWORTH",75000,NA,NA,NA,NA,0.032
3046,"WASHBURN",13772,NA,NA,NA,NA,0.05
3047,"WASHINGTON",95328,NA,NA,NA,NA,0.025
3048,"WAUKESHA",304715,NA,NA,NA,NA,0.034
3049,"WAUPACA",46104,NA,NA,NA,NA,0.045
3050,"WAUSHARA",19385,NA,NA,NA,NA,0.037
3051,"WINNEBAGO",140320,NA,NA,NA,NA,0.035
3052,"WOOD",73605,NA,NA,NA,NA,0.048
561,"ADAMS",66090,0.052,NA,NA,NA,NA
562,"ALEXANDER",10626,0.014,NA,NA,NA,NA
563,"BOND",14991,0.022,NA,NA,NA,NA
564,"BOONE",30806,0.017,NA,NA,NA,NA
565,"BROWN",5836,0.018,NA,NA,NA,NA
566,"BUREAU",35688,0.05,NA,NA,NA,NA
567,"CALHOUN",5322,0.017,NA,NA,NA,NA
568,"CARROLL",16805,0.027,NA,NA,NA,NA
569,"CASS",13437,0.024,NA,NA,NA,NA
570,"CHAMPAIGN",173025,0.058,NA,NA,NA,NA
571,"CHRISTIAN",34418,0.042,NA,NA,NA,NA
572,"CLARK",15921,0.03,NA,NA,NA,NA
573,"CLAY",14460,0.028,NA,NA,NA,NA
574,"CLINTON",33944,0.029,NA,NA,NA,NA
575,"COLES",51644,0.03,NA,NA,NA,NA
576,"COOK",5105067,0.058,NA,NA,NA,NA
577,"CRAWFORD",19464,0.026,NA,NA,NA,NA
578,"CUMBERLAND",10670,0.02,NA,NA,NA,NA
579,"DE KALB",77932,0.038,NA,NA,NA,NA
580,"DE WITT",16516,0.023,NA,NA,NA,NA
